category,distance,duration,nearby_places,title,url,p_rating,count,itemId
Adventure,18 Kms,2-3 Hours,None,Ladakh Rafting Point,/india/ladakh/week-thing-husband,3.0,675,9636
Beach,18 Kms,Full Day,None,Goa Beach,/india/goa/him-program-apply,1.0,393,6479
Nature,40 Kms,1-2 Hours,None,Munnar Hill Station,/india/munnar/under-check-ask-pay,2.6,394,5288
Heritage,15 Kms,Full Day,None,Agra Museum,/india/agra/inside-heart-end,3.5,123,9652
Adventure,16 Kms,2-3 Hours,None,Ladakh Rafting Point,/india/ladakh/nor-none,3.9,966,2690
Heritage,28 Kms,Half Day,None,Jaipur Palace,/india/jaipur/factor-take-miss-my,2.6,877,8959
Heritage,5 Kms,1-2 Hours,None,Agra Museum,/india/agra/poor-major-choice,2.4,787,846
Adventure,48 Kms,1-2 Hours,None,Manali Rafting Point,/india/manali/instead-none,3.1,556,6545
Beach,7 Kms,2-3 Hours,None,Chennai Beach,/india/chennai/price-deal-easy,1.5,493,3194
Religious,46 Kms,1-2 Hours,None,Varanasi Ghat,/india/varanasi/begin-similar-bill,3.2,116,8984
Nature,18 Kms,Full Day,None,Munnar Garden,/india/munnar/wish-likely-blue,4.8,150,6658
Wildlife,3 Kms,1-2 Hours,None,Jim Corbett National Park,/india/jim corbett/ever-establish,4.7,665,5132
Adventure,31 Kms,1-2 Hours,None,Manali Trekking Trail,/india/manali/feel-including,2.2,909,2235
Heritage,35 Kms,1-2 Hours,None,Jaipur Palace,/india/jaipur/break-behavior,2.1,784,3922
Beach,20 Kms,1-2 Hours,None,Goa Beach,/india/goa/measure-usually,1.7,258,9061
Nature,26 Kms,Full Day,None,Shillong Hill Station,/india/shillong/like-three,3.7,433,6022
Wildlife,13 Kms,Full Day,None,Jim Corbett National Park,/india/jim corbett/role-know-let-south,2.7,559,2700
Religious,1 Kms,Half Day,None,Tirupati Temple,/india/tirupati/thing-let-fight,1.7,446,7372
Beach,21 Kms,Full Day,None,Kochi Beach,/india/kochi/break-bag-energy,3.0,918,2532
Wildlife,12 Kms,1-2 Hours,None,Ranthambore National Park,/india/ranthambore/eat-bar-whatever,1.6,64,7799
Heritage,6 Kms,1-2 Hours,None,Jaipur Fort,/india/jaipur/husband-task-well,1.2,800,1522
Adventure,3 Kms,2-3 Hours,None,Ladakh Rafting Point,/india/ladakh/yard-me-pm-since,2.9,706,7108
Heritage,30 Kms,Half Day,None,Hyderabad Museum,/india/hyderabad/to-sister-mr-data,1.3,398,8529
Wildlife,44 Kms,1-2 Hours,None,Jim Corbett Sanctuary,/india/jim corbett/start-tax-each,3.7,732,8107
Wildlife,17 Kms,Half Day,None,Jim Corbett Sanctuary,/india/jim corbett/fish-activity-store,3.9,763,7048
Heritage,10 Kms,Half Day,None,Jaipur Museum,/india/jaipur/friend-style,4.3,873,4713
Heritage,18 Kms,Full Day,None,Delhi Palace,/india/delhi/add-evidence-by,4.8,101,9575
Heritage,5 Kms,1-2 Hours,None,Jaipur Fort,/india/jaipur/military-beyond,2.9,719,4107
Heritage,6 Kms,Full Day,None,Jaipur Fort,/india/jaipur/evening-character,2.2,83,7886
Wildlife,36 Kms,1-2 Hours,None,Jim Corbett Sanctuary,/india/jim corbett/window-any-buy,1.7,263,4705
Beach,20 Kms,2-3 Hours,None,Puri Resort,/india/puri/describe-can-take,1.7,200,6151
Nature,24 Kms,2-3 Hours,None,Shillong Lake,/india/shillong/mother-usually,3.1,798,9915
Nature,10 Kms,Full Day,None,Shillong Lake,/india/shillong/send-training,3.5,597,2791
Adventure,30 Kms,Full Day,None,Goa Rafting Point,/india/goa/necessary-throw,3.2,682,1172
Beach,4 Kms,1-2 Hours,None,Mumbai Resort,/india/mumbai/spend-focus-mouth,2.2,886,7894
Nature,37 Kms,2-3 Hours,None,Leh Hill Station,/india/leh/some-page-goal-can,4.4,152,2033
Religious,4 Kms,2-3 Hours,None,Madurai Church,/india/madurai/serve-start,2.9,960,7254
Nature,42 Kms,1-2 Hours,None,Ooty Hill Station,/india/ooty/family-say-set,4.4,553,4056
Wildlife,36 Kms,1-2 Hours,None,Ranthambore National Park,/india/ranthambore/remember-teacher,1.0,412,3986
Religious,21 Kms,Full Day,None,Varanasi Church,/india/varanasi/research-concern,5.0,696,4299
Wildlife,8 Kms,2-3 Hours,None,Jim Corbett National Park,/india/jim corbett/start-money-cup,1.1,603,8994
Wildlife,17 Kms,2-3 Hours,None,Jim Corbett National Park,/india/jim corbett/this-start-wear,2.5,397,1658
Wildlife,17 Kms,2-3 Hours,None,Ranthambore National Park,/india/ranthambore/be-movement-human,3.5,958,6798
Heritage,3 Kms,Full Day,None,Kolkata Palace,/india/kolkata/crime-bank-argue,1.5,353,4122
Heritage,23 Kms,1-2 Hours,None,Jaipur Museum,/india/jaipur/candidate-stuff,5.0,191,6684
Heritage,31 Kms,2-3 Hours,None,Kolkata Museum,/india/kolkata/end-art-that-week,2.1,380,7887
Wildlife,36 Kms,Half Day,None,Ranthambore Sanctuary,/india/ranthambore/too-free-along,3.3,933,9650
Adventure,37 Kms,Full Day,None,Manali Rafting Point,/india/manali/outside-the-theory,1.1,526,2563
Heritage,45 Kms,Full Day,None,Delhi Fort,/india/delhi/tree-finish-yeah,2.4,753,1026
Wildlife,21 Kms,Half Day,None,Ranthambore National Park,/india/ranthambore/senior-then-glass,3.8,119,1907
Adventure,46 Kms,Full Day,None,Ladakh Rafting Point,/india/ladakh/goal-film-not-bank,2.9,63,5352
Religious,8 Kms,Full Day,None,Madurai Church,/india/madurai/agency-sport,1.1,663,3341
Heritage,37 Kms,Full Day,None,Kolkata Museum,/india/kolkata/too-pass-nice,3.8,943,630
Heritage,22 Kms,2-3 Hours,None,Agra Palace,/india/agra/appear-treatment,2.9,408,8420
Nature,37 Kms,Half Day,None,Ooty Lake,/india/ooty/check-somebody-kind,4.4,58,6185
Religious,37 Kms,2-3 Hours,None,Rishikesh Church,/india/rishikesh/fast-suggest,3.4,932,5816
Beach,39 Kms,Half Day,None,Kochi Resort,/india/kochi/money-clearly-front,1.5,506,6916
Beach,30 Kms,Half Day,None,Puri Beach,/india/puri/body-red-population,1.3,166,8058
Religious,37 Kms,1-2 Hours,None,Amritsar Ghat,/india/amritsar/bed-player-sell,2.9,194,2897
Nature,22 Kms,1-2 Hours,None,Munnar Lake,/india/munnar/hit-film-remember,2.7,69,5349
Adventure,7 Kms,Half Day,None,Goa Trekking Trail,/india/goa/million-every-able,3.7,884,2416
Heritage,29 Kms,2-3 Hours,None,Jaipur Museum,/india/jaipur/report-admit-meet,2.6,638,6596
Religious,34 Kms,1-2 Hours,None,Amritsar Ghat,/india/amritsar/member-clearly,4.4,603,98
Heritage,41 Kms,2-3 Hours,None,Agra Palace,/india/agra/determine-recently,2.3,414,7261
Adventure,17 Kms,Half Day,None,Ladakh Rafting Point,/india/ladakh/firm-debate-little,4.7,731,9850
Wildlife,35 Kms,Full Day,None,Kaziranga National Park,/india/kaziranga/court-attention,2.0,719,1024
Wildlife,49 Kms,Half Day,None,Sundarbans Sanctuary,/india/sundarbans/listen-perhaps,3.5,499,4821
Beach,10 Kms,1-2 Hours,None,Goa Resort,/india/goa/born-standard,2.5,658,5029
Beach,38 Kms,Full Day,None,Kochi Beach,/india/kochi/simple-such,1.9,500,3490
Heritage,32 Kms,Half Day,None,Jaipur Museum,/india/jaipur/sometimes-radio,1.4,816,6123
Adventure,45 Kms,1-2 Hours,None,Ladakh Rafting Point,/india/ladakh/major-environment,1.3,238,9988
Religious,23 Kms,1-2 Hours,None,Tirupati Ghat,/india/tirupati/each-especially,1.6,634,4794
Nature,7 Kms,1-2 Hours,None,Leh Hill Station,/india/leh/consumer-law-people,3.5,311,4066
Nature,39 Kms,2-3 Hours,None,Shillong Hill Station,/india/shillong/thing-away-say,4.1,805,6825
Wildlife,19 Kms,Full Day,None,Kaziranga Sanctuary,/india/kaziranga/early-have-see,3.2,686,9746
Adventure,30 Kms,Half Day,None,Ladakh Rafting Point,/india/ladakh/six-woman-office,2.0,961,3173
Nature,39 Kms,Half Day,None,Leh Hill Station,/india/leh/dinner-station,3.0,722,2698
Heritage,16 Kms,Half Day,None,Kolkata Palace,/india/kolkata/night-themselves,2.7,791,1499
Wildlife,50 Kms,2-3 Hours,None,Ranthambore National Park,/india/ranthambore/everybody-scientist,4.7,556,7026
Nature,28 Kms,Half Day,None,Shillong Hill Station,/india/shillong/race-one-size-time,2.5,865,3968
Wildlife,17 Kms,Half Day,None,Jim Corbett National Park,/india/jim corbett/vote-management,2.6,836,272
Adventure,43 Kms,Half Day,None,Goa Rafting Point,/india/goa/consider-provide,3.6,217,6036
Religious,37 Kms,Half Day,None,Tirupati Church,/india/tirupati/direction-education,2.1,378,5128
Nature,30 Kms,2-3 Hours,None,Shillong Hill Station,/india/shillong/tonight-test,1.1,337,2075
Adventure,18 Kms,Full Day,None,Rishikesh Rafting Point,/india/rishikesh/network-hand-time,1.9,632,7340
Adventure,6 Kms,1-2 Hours,None,Ladakh Trekking Trail,/india/ladakh/occur-today-far-bit,3.9,154,5755
Religious,13 Kms,Full Day,None,Amritsar Church,/india/amritsar/activity-agency,2.4,122,1382
Beach,47 Kms,Half Day,None,Kochi Beach,/india/kochi/reach-final-can,2.4,586,7231
Wildlife,10 Kms,Full Day,None,Jim Corbett Sanctuary,/india/jim corbett/tough-president,1.8,508,8526
Beach,32 Kms,Full Day,None,Mumbai Beach,/india/mumbai/team-need-drop,3.6,299,9017
Adventure,48 Kms,2-3 Hours,None,Rishikesh Trekking Trail,/india/rishikesh/cover-television-no,3.8,781,1390
Beach,11 Kms,2-3 Hours,None,Goa Beach,/india/goa/something-game-even,1.8,767,9019
Adventure,34 Kms,2-3 Hours,None,Goa Trekking Trail,/india/goa/save-foreign-crime,4.3,69,7825
Heritage,7 Kms,Half Day,None,Kolkata Palace,/india/kolkata/friend-answer-learn,5.0,351,5956
Nature,18 Kms,2-3 Hours,None,Ooty Lake,/india/ooty/collection-order,2.2,921,9473
Religious,11 Kms,1-2 Hours,None,Madurai Temple,/india/madurai/national-begin,2.2,174,3501
Beach,38 Kms,Half Day,None,Chennai Resort,/india/chennai/take-should-who,1.1,756,963
Beach,41 Kms,Half Day,None,Kochi Resort,/india/kochi/across-evidence,3.8,247,747
Nature,15 Kms,Half Day,None,Ooty Garden,/india/ooty/idea-nearly-recent,1.8,493,3258
Beach,12 Kms,2-3 Hours,None,Puri Beach,/india/puri/maybe-color-large,3.4,951,7697
Nature,30 Kms,1-2 Hours,None,Leh Hill Station,/india/leh/figure-determine,4.5,635,3121
Beach,1 Kms,Full Day,None,Chennai Beach,/india/chennai/hour-office-whether,2.5,622,4715
Wildlife,24 Kms,1-2 Hours,None,Jim Corbett National Park,/india/jim corbett/now-else-country,2.6,86,8560
Nature,14 Kms,1-2 Hours,None,Leh Lake,/india/leh/even-yard-station,2.9,361,3646
Religious,46 Kms,1-2 Hours,None,Varanasi Ghat,/india/varanasi/thought-themselves,2.4,177,9998
Religious,39 Kms,Full Day,None,Varanasi Temple,/india/varanasi/fire-law-message,3.0,790,3278
Beach,19 Kms,2-3 Hours,None,Puri Beach,/india/puri/nothing-suggest,2.8,378,3598
Adventure,50 Kms,2-3 Hours,None,Manali Trekking Trail,/india/manali/prove-hard-thought,3.2,417,2776
Nature,16 Kms,Full Day,None,Ooty Lake,/india/ooty/manager-table-buy,4.6,101,7362
Nature,42 Kms,Full Day,None,Munnar Garden,/india/munnar/bad-back-than-same,4.3,742,5004
Wildlife,34 Kms,Full Day,None,Jim Corbett National Park,/india/jim corbett/clear-whether-also,4.4,575,6004
Nature,24 Kms,Full Day,None,Shillong Garden,/india/shillong/dream-drive,1.7,662,1441
Wildlife,47 Kms,1-2 Hours,None,Sundarbans National Park,/india/sundarbans/appear-mrs,1.4,820,7684
Religious,49 Kms,Full Day,None,Rishikesh Ghat,/india/rishikesh/alone-perform,4.7,205,435
Beach,17 Kms,Full Day,None,Kochi Resort,/india/kochi/enjoy-ball-step,4.7,170,3610
Wildlife,31 Kms,Half Day,None,Sundarbans Sanctuary,/india/sundarbans/difficult-key,4.7,258,4635
Heritage,1 Kms,Full Day,None,Agra Museum,/india/agra/for-between-few,2.0,434,8488
Religious,5 Kms,2-3 Hours,None,Madurai Temple,/india/madurai/toward-majority,1.9,665,6116
Heritage,25 Kms,2-3 Hours,None,Delhi Fort,/india/delhi/me-rate-modern,1.1,586,788
Religious,14 Kms,Half Day,None,Rishikesh Ghat,/india/rishikesh/since-whose-side,4.5,495,2342
Nature,37 Kms,Half Day,None,Ooty Hill Station,/india/ooty/party-window-else,1.1,602,6089
Heritage,37 Kms,1-2 Hours,None,Delhi Palace,/india/delhi/amount-turn-thus,2.5,183,1073
Heritage,33 Kms,Half Day,None,Delhi Palace,/india/delhi/seek-season-this,3.9,389,5152
Heritage,49 Kms,1-2 Hours,None,Hyderabad Fort,/india/hyderabad/make-court-outside,4.8,536,8040
Beach,38 Kms,2-3 Hours,None,Goa Beach,/india/goa/affect-soon-kitchen,2.0,866,6217
Adventure,6 Kms,Half Day,None,Ladakh Rafting Point,/india/ladakh/military-raise,2.9,824,1811
Heritage,1 Kms,Full Day,None,Hyderabad Palace,/india/hyderabad/history-say,1.6,450,8717
Beach,13 Kms,2-3 Hours,None,Chennai Resort,/india/chennai/service-beyond-soon,3.3,803,5636
Nature,42 Kms,1-2 Hours,None,Leh Garden,/india/leh/fine-president,3.8,679,400
Adventure,15 Kms,Half Day,None,Rishikesh Trekking Trail,/india/rishikesh/sport-specific-gas,2.4,765,7212
Nature,19 Kms,2-3 Hours,None,Munnar Hill Station,/india/munnar/century-whether,3.6,350,8463
Beach,40 Kms,Full Day,None,Puri Resort,/india/puri/kind-service-stay,2.2,244,6659
Adventure,3 Kms,Full Day,None,Manali Trekking Trail,/india/manali/near-plan-long,1.6,907,2669
Heritage,17 Kms,Full Day,None,Kolkata Palace,/india/kolkata/sister-listen-must,4.7,214,2051
Religious,18 Kms,Full Day,None,Varanasi Ghat,/india/varanasi/song-resource,1.2,978,2020
Nature,9 Kms,2-3 Hours,None,Leh Garden,/india/leh/already-eat-right,1.7,696,3417
Wildlife,30 Kms,1-2 Hours,None,Ranthambore National Park,/india/ranthambore/question-official,4.9,62,1687
Wildlife,3 Kms,2-3 Hours,None,Ranthambore Sanctuary,/india/ranthambore/morning-image,2.9,361,746
Nature,14 Kms,Half Day,None,Leh Lake,/india/leh/company-wife-reason,1.7,681,7286
Heritage,34 Kms,1-2 Hours,None,Agra Museum,/india/agra/fight-eye-outside,4.0,672,5597
Religious,50 Kms,Full Day,None,Tirupati Ghat,/india/tirupati/especially-life,4.2,980,9640
Heritage,16 Kms,1-2 Hours,None,Agra Museum,/india/agra/remember-society,1.5,481,1158
Wildlife,39 Kms,Half Day,None,Ranthambore Sanctuary,/india/ranthambore/site-any-little-too,3.3,523,2471
Religious,3 Kms,1-2 Hours,None,Varanasi Ghat,/india/varanasi/away-area-project,2.4,512,7710
Heritage,8 Kms,Half Day,None,Kolkata Palace,/india/kolkata/door-pretty-process,4.6,105,218
Heritage,18 Kms,2-3 Hours,None,Jaipur Museum,/india/jaipur/including-politics,1.9,137,1013
Nature,19 Kms,Full Day,None,Leh Garden,/india/leh/just-red-oil-form,2.2,296,3367
Adventure,14 Kms,1-2 Hours,None,Ladakh Rafting Point,/india/ladakh/leader-that-yet,3.8,412,9892
Nature,22 Kms,2-3 Hours,None,Shillong Garden,/india/shillong/often-popular-build,2.3,526,1550
Religious,7 Kms,1-2 Hours,None,Rishikesh Church,/india/rishikesh/national-couple-six,3.1,66,5328
Nature,19 Kms,Full Day,None,Munnar Lake,/india/munnar/relationship,1.1,972,7441
Beach,38 Kms,Half Day,None,Mumbai Beach,/india/mumbai/edge-because-quite,1.2,349,4648
Heritage,16 Kms,1-2 Hours,None,Hyderabad Palace,/india/hyderabad/see-get-understand,4.9,376,8652
Wildlife,37 Kms,2-3 Hours,None,Jim Corbett National Park,/india/jim corbett/person-when,3.8,357,3974
Adventure,5 Kms,1-2 Hours,None,Manali Rafting Point,/india/manali/light-project-wife,3.5,708,2410
Wildlife,38 Kms,Half Day,None,Jim Corbett National Park,/india/jim corbett/seek-before-child,1.9,983,3654
Heritage,38 Kms,2-3 Hours,None,Agra Fort,/india/agra/key-stay-officer,1.6,707,6081
Nature,14 Kms,1-2 Hours,None,Shillong Lake,/india/shillong/left-suggest,1.5,727,6035
Heritage,2 Kms,Half Day,None,Kolkata Museum,/india/kolkata/ground-economic,4.2,596,5375
Religious,16 Kms,1-2 Hours,None,Amritsar Church,/india/amritsar/use-occur-spend,2.2,58,4647
Adventure,9 Kms,Full Day,None,Manali Rafting Point,/india/manali/every-after-left,3.5,718,5757
Beach,16 Kms,1-2 Hours,None,Puri Resort,/india/puri/admit-shoulder,4.1,804,6776
Nature,36 Kms,2-3 Hours,None,Shillong Garden,/india/shillong/few-one-event-from,1.0,205,298
Adventure,7 Kms,Half Day,None,Manali Rafting Point,/india/manali/myself-account,3.7,423,7674
Adventure,21 Kms,2-3 Hours,None,Rishikesh Rafting Point,/india/rishikesh/american-risk-shake,4.3,592,741
Wildlife,3 Kms,2-3 Hours,None,Ranthambore Sanctuary,/india/ranthambore/certainly-class,2.5,371,4357
Nature,35 Kms,1-2 Hours,None,Leh Garden,/india/leh/half-play-similar,3.0,715,8395
Religious,44 Kms,Half Day,None,Varanasi Temple,/india/varanasi/avoid-no-mother,4.7,814,4843
Heritage,7 Kms,Half Day,None,Delhi Museum,/india/delhi/could-money,4.4,938,9268
Beach,8 Kms,Full Day,None,Chennai Beach,/india/chennai/relate-scene-action,4.9,572,247
Religious,30 Kms,1-2 Hours,None,Amritsar Church,/india/amritsar/hard-college-speak,4.5,470,4823
Heritage,47 Kms,Full Day,None,Kolkata Museum,/india/kolkata/door-try-whose,3.4,142,9145
Religious,9 Kms,2-3 Hours,None,Varanasi Temple,/india/varanasi/want-learn-carry,3.8,746,935
Nature,8 Kms,Full Day,None,Shillong Hill Station,/india/shillong/difference-focus,2.6,707,9399
Nature,23 Kms,2-3 Hours,None,Munnar Garden,/india/munnar/one-coach-stock,3.8,582,9398
Beach,47 Kms,2-3 Hours,None,Kochi Resort,/india/kochi/meet-fine-pretty,1.9,226,7527
Adventure,27 Kms,2-3 Hours,None,Rishikesh Trekking Trail,/india/rishikesh/work-do-tend-system,4.4,673,4419
Wildlife,12 Kms,Full Day,None,Kaziranga National Park,/india/kaziranga/admit-enough,1.6,678,4995
Wildlife,23 Kms,2-3 Hours,None,Sundarbans Sanctuary,/india/sundarbans/decision-court,5.0,670,2560
Nature,10 Kms,Full Day,None,Leh Hill Station,/india/leh/oil-who-candidate,3.1,849,4881
Heritage,26 Kms,2-3 Hours,None,Kolkata Museum,/india/kolkata/believe-man-break,1.7,521,5871
Wildlife,18 Kms,1-2 Hours,None,Ranthambore National Park,/india/ranthambore/last-majority,3.7,852,3344
Religious,42 Kms,Full Day,None,Amritsar Church,/india/amritsar/sort-company-price,3.0,136,9992
Wildlife,19 Kms,2-3 Hours,None,Jim Corbett Sanctuary,/india/jim corbett/seek-should-table,4.6,241,3115
Nature,49 Kms,1-2 Hours,None,Shillong Hill Station,/india/shillong/anything-light-next,1.5,206,5360
Heritage,3 Kms,Half Day,None,Hyderabad Museum,/india/hyderabad/left-rock-career,2.4,828,1317
Wildlife,41 Kms,1-2 Hours,None,Sundarbans Sanctuary,/india/sundarbans/line-mind-enjoy,3.0,960,9490
Religious,6 Kms,Full Day,None,Madurai Temple,/india/madurai/nation-people,4.9,906,6768
Religious,11 Kms,Full Day,None,Varanasi Ghat,/india/varanasi/voice-find-against,2.9,915,5896
Heritage,13 Kms,Half Day,None,Hyderabad Fort,/india/hyderabad/benefit-live,4.6,473,9301
Heritage,1 Kms,Half Day,None,Delhi Museum,/india/delhi/ready-company,4.8,336,7865
Beach,38 Kms,1-2 Hours,None,Puri Resort,/india/puri/according-increase,4.0,58,9320
Religious,50 Kms,2-3 Hours,None,Amritsar Ghat,/india/amritsar/wind-lawyer,3.1,461,2441
Religious,25 Kms,1-2 Hours,None,Tirupati Temple,/india/tirupati/probably-with,4.5,238,346
Religious,42 Kms,2-3 Hours,None,Varanasi Temple,/india/varanasi/season-something,2.7,528,1129
Adventure,33 Kms,1-2 Hours,None,Rishikesh Trekking Trail,/india/rishikesh/same-mission-good,3.5,552,6281
Adventure,11 Kms,Full Day,None,Rishikesh Rafting Point,/india/rishikesh/out-affect-federal,1.2,357,7827
Adventure,36 Kms,Full Day,None,Goa Rafting Point,/india/goa/meet-main-kitchen,4.0,401,2394
Nature,37 Kms,Half Day,None,Leh Hill Station,/india/leh/certain-other-half,2.6,968,1863
Heritage,7 Kms,Half Day,None,Delhi Fort,/india/delhi/simple-reveal-car,2.4,429,406
Nature,30 Kms,Full Day,None,Shillong Garden,/india/shillong/sell-lot-financial,4.0,878,9823
Nature,40 Kms,2-3 Hours,None,Ooty Garden,/india/ooty/the-place-degree,2.0,784,653
Wildlife,48 Kms,2-3 Hours,None,Sundarbans National Park,/india/sundarbans/none-shoulder-my,2.7,817,3357
Heritage,39 Kms,Half Day,None,Jaipur Palace,/india/jaipur/high-ball-all,3.8,202,2501
Wildlife,4 Kms,Half Day,None,Ranthambore Sanctuary,/india/ranthambore/dog-possible-so,2.0,780,3860
Nature,33 Kms,Half Day,None,Shillong Hill Station,/india/shillong/speech-every,1.3,753,3480
Adventure,18 Kms,Full Day,None,Goa Trekking Trail,/india/goa/simply-enter-stuff,1.3,219,7353
Beach,6 Kms,Full Day,None,Mumbai Beach,/india/mumbai/other-popular-like,4.0,638,5110
Beach,23 Kms,Half Day,None,Puri Beach,/india/puri/church-third,1.6,890,4311
Beach,16 Kms,2-3 Hours,None,Puri Resort,/india/puri/tax-address-popular,4.2,477,9587
Heritage,42 Kms,2-3 Hours,None,Delhi Palace,/india/delhi/writer-ever-suffer,4.9,291,5058
Religious,22 Kms,Full Day,None,Varanasi Ghat,/india/varanasi/lead-police-part,2.1,559,2413
Religious,29 Kms,Half Day,None,Madurai Church,/india/madurai/hair-ten-executive,3.4,406,5907
Wildlife,4 Kms,Half Day,None,Sundarbans Sanctuary,/india/sundarbans/plan-high-bad-run,5.0,441,4644
Adventure,6 Kms,Full Day,None,Goa Trekking Trail,/india/goa/west-environment,3.8,307,5361
Adventure,12 Kms,1-2 Hours,None,Rishikesh Trekking Trail,/india/rishikesh/minute-prevent,3.5,250,7507
Beach,32 Kms,Full Day,None,Kochi Resort,/india/kochi/city-big-despite,1.2,881,8962
Wildlife,29 Kms,Full Day,None,Jim Corbett National Park,/india/jim corbett/best-international,2.3,848,9670
Nature,43 Kms,Half Day,None,Shillong Garden,/india/shillong/responsibility,1.2,316,5263
Beach,25 Kms,Half Day,None,Puri Resort,/india/puri/management-seven,2.8,664,5273
Religious,29 Kms,Full Day,None,Tirupati Ghat,/india/tirupati/child-morning-order,4.5,637,9807
Wildlife,23 Kms,2-3 Hours,None,Jim Corbett National Park,/india/jim corbett/family-so-cultural,2.4,809,6691
Heritage,21 Kms,Full Day,None,Hyderabad Fort,/india/hyderabad/way-run-figure,3.7,139,9993
Nature,50 Kms,Half Day,None,Ooty Hill Station,/india/ooty/story-determine-oil,3.0,85,6726
Wildlife,7 Kms,1-2 Hours,None,Sundarbans Sanctuary,/india/sundarbans/pick-dog-trip-plan,4.9,701,7900
Wildlife,46 Kms,1-2 Hours,None,Jim Corbett National Park,/india/jim corbett/sure-good-south,2.2,727,4847
Adventure,32 Kms,1-2 Hours,None,Manali Trekking Trail,/india/manali/work-teacher-record,4.5,677,9677
Religious,5 Kms,Half Day,None,Madurai Church,/india/madurai/address-certain,2.8,128,7458
Adventure,26 Kms,Half Day,None,Manali Trekking Trail,/india/manali/senior-power-just,4.5,104,508
Wildlife,18 Kms,1-2 Hours,None,Jim Corbett National Park,/india/jim corbett/more-girl-executive,2.0,85,6606
Heritage,2 Kms,1-2 Hours,None,Jaipur Fort,/india/jaipur/really-poor-agency,3.2,973,6252
Beach,29 Kms,1-2 Hours,None,Goa Beach,/india/goa/if-everyone-accept,1.3,742,4516
Heritage,10 Kms,Full Day,None,Agra Fort,/india/agra/fast-citizen-state,3.4,848,35
Heritage,21 Kms,Half Day,None,Jaipur Fort,/india/jaipur/until-often,2.6,848,8459
Heritage,28 Kms,Full Day,None,Agra Palace,/india/agra/tonight-appear,3.9,394,3352
Beach,2 Kms,2-3 Hours,None,Chennai Beach,/india/chennai/ground-million,1.8,121,2007
Adventure,33 Kms,2-3 Hours,None,Rishikesh Trekking Trail,/india/rishikesh/enough-customer-bit,2.1,533,8815
Nature,25 Kms,1-2 Hours,None,Munnar Hill Station,/india/munnar/play-total-economy,3.9,823,2670
Heritage,18 Kms,2-3 Hours,None,Kolkata Fort,/india/kolkata/add-future-evening,4.1,765,4638
Nature,2 Kms,2-3 Hours,None,Ooty Lake,/india/ooty/stand-compare-prove,2.5,363,4157
Religious,39 Kms,2-3 Hours,None,Madurai Temple,/india/madurai/paper-evidence-nice,1.1,720,5983
Beach,13 Kms,2-3 Hours,None,Mumbai Beach,/india/mumbai/newspaper-off-its,4.3,864,3030
